question,answer,type
What is the total semester fee for PhD in Information Systems & Technology for a Non-East African student?,"262,540.00",original
What is the Vice Chancellor's full name?,"Freida A. Brown, Ph.D.",paraphrased
Who holds the title of Vice Chancellor and what is their complete name?,"Freida A. Brown, Ph.D.",paraphrased
Could you provide the full name of the person serving as Vice Chancellor?,"Freida A. Brown, Ph.D.",paraphrased
What name does the Vice Chancellor go by in full?,"Freida A. Brown, Ph.D.",paraphrased
What is what is the full name of the vice chancellor??,"Freida A. Brown, Ph.D.",paraphrased
What is the location of the Vice Chancellor's Office?,In the Administration Block.,paraphrased
Where can I find the Vice Chancellor's Office?,In the Administration Block.,paraphrased
In which building is the Vice Chancellor's Office situated?,In the Administration Block.,paraphrased
Could you let me know the place of the Vice Chancellor's Office?,In the Administration Block.,paraphrased
What is where is the vice chancellor's office located??,In the Administration Block.,paraphrased
Which extension can I dial to contact the Vice Chancellor's Office?,Extension 411.,paraphrased
What is the phone extension for the Vice Chancellor's Office?,Extension 411.,paraphrased
What is the correct extension to reach the Vice Chancellor's Office?,Extension 411.,paraphrased
Which phone extension should I use to get in touch with the Vice Chancellor's Office?,Extension 411.,paraphrased
What is what extension reaches the vice chancellor's office??,Extension 411.,paraphrased
Is fax service available at the Vice Chancellor's Office?,"Yes, at a charge.",paraphrased
Can I send a fax through the Vice Chancellor's Office?,"Yes, at a charge.",paraphrased
Are faxing facilities provided by the Vice Chancellor's Office?,"Yes, at a charge.",paraphrased
Does the Vice Chancellor's Office provide the option to send faxes?,"Yes, at a charge.",paraphrased
Is it possible to use fax services at the Vice Chancellor's Office?,"Yes, at a charge.",paraphrased
What is the address of the Finance Office?,In the Administration Block.,paraphrased
In which building can I find the Finance Office?,In the Administration Block.,paraphrased
Could you let me know where the Finance Office is situated?,In the Administration Block.,paraphrased
Where can I locate the Finance Office?,In the Administration Block.,paraphrased
What is where is the finance office located??,In the Administration Block.,paraphrased
Which extensions can I use to contact the Finance Office?,Extensions 403 or 224.,paraphrased
What are the phone extensions for reaching the Finance Office?,Extensions 403 or 224.,paraphrased
Which phone numbers should I dial to get in touch with the Finance Office?,Extensions 403 or 224.,paraphrased
What are the extension numbers that lead to the Finance Office?,Extensions 403 or 224.,paraphrased
What is what extensions reach the finance office??,Extensions 403 or 224.,paraphrased
Is cash an acceptable form of payment for tuition at the Finance Office?,No cash payments are accepted for tuition or most fees.,paraphrased
Can you pay tuition in cash at the Finance Office?,No cash payments are accepted for tuition or most fees.,paraphrased
Do they take cash for tuition payments at the Finance Office?,No cash payments are accepted for tuition or most fees.,paraphrased
Is it possible to use cash to pay for tuition in the Finance Office?,No cash payments are accepted for tuition or most fees.,paraphrased
Is cash allowed as a payment method for tuition at the Finance Office?,No cash payments are accepted for tuition or most fees.,paraphrased
What is the highest cash limit permitted for special payments?,Ksh 1 000.,paraphrased
How much cash is allowed at most for special payments?,Ksh 1 000.,paraphrased
What's the largest amount of cash you can use for special payments?,Ksh 1 000.,paraphrased
What is the cap on cash payments for special purposes?,Ksh 1 000.,paraphrased
What is what is the maximum cash amount allowed for special payments??,Ksh 1 000.,paraphrased
What is the interest rate applied to balances that are not paid off?,1.5 % per month.,paraphrased
How much interest do you incur on any remaining balances?,1.5 % per month.,paraphrased
What percentage of interest is applied to balances that are still owed?,1.5 % per month.,paraphrased
What is the monthly charge for interest on outstanding amounts?,1.5 % per month.,paraphrased
What is what interest is charged on outstanding balances??,1.5 % per month.,paraphrased
Who should be the payee on the checks?,United States International University- Nairobi.,paraphrased
Who do the checks need to be addressed to?,United States International University- Nairobi.,paraphrased
To which entity should the checks be made out?,United States International University- Nairobi.,paraphrased
Whose name should appear on the checks?,United States International University- Nairobi.,paraphrased
What is the correct payee for the checks?,United States International University- Nairobi.,paraphrased
What are the consequences of issuing a bounced cheque?,"10 % of face value, max Ksh 5 000.",paraphrased
How much is the fine for a cheque that bounces?,"10 % of face value, max Ksh 5 000.",paraphrased
What penalty applies if a cheque is returned due to insufficient funds?,"10 % of face value, max Ksh 5 000.",paraphrased
What is the fee for a cheque that doesn't clear?,"10 % of face value, max Ksh 5 000.",paraphrased
What is what is the penalty for a bounced cheque??,"10 % of face value, max Ksh 5 000.",paraphrased
Which three banks can I use to make deposits?,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",paraphrased
What are the names of three banks that accept deposits?,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",paraphrased
Which banks should I consider for making deposits?,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",paraphrased
Could you list three banks that are available for depositing funds?,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",paraphrased
What is what are the three banks for deposits??,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",paraphrased
What's the account number for the KES account at CBA?,6438840014,paraphrased
Could you provide the KES account number associated with CBA?,6438840014,paraphrased
What is the account number for the KES account held at CBA?,6438840014,paraphrased
May I know the KES account number with CBA?,6438840014,paraphrased
What is what is the kes account number at cba??,6438840014,paraphrased
What is the account number in USD at CBA?,6462210014,paraphrased
Could you provide the USD account number associated with CBA?,6462210014,paraphrased
What's the CBA account number for USD transactions?,6462210014,paraphrased
I'd like to know the USD account number with CBA.,6462210014,paraphrased
What is what is the usd account number at cba??,6462210014,paraphrased
What's the SWIFT code associated with CBA?,CBAFKENX.,paraphrased
Could you provide the SWIFT code for CBA?,CBAFKENX.,paraphrased
What is the CBA's SWIFT code?,CBAFKENX.,paraphrased
Do you know the SWIFT code for CBA?,CBAFKENX.,paraphrased
What is what is the swift code for cba??,CBAFKENX.,paraphrased
Which bank acts as the intermediary for USD wire transfers?,"HSBC, New York.",paraphrased
What bank serves as the middleman for USD wire transfers?,"HSBC, New York.",paraphrased
Who is the intermediary bank for wire transfers in USD?,"HSBC, New York.",paraphrased
Which institution facilitates USD wire transfers as the intermediary bank?,"HSBC, New York.",paraphrased
What is what is the intermediary bank for usd wires??,"HSBC, New York.",paraphrased
Could you tell me the Paybill number for M-PESA?,516900,paraphrased
What is the Paybill number associated with M-PESA?,516900,paraphrased
Can you provide the M-PESA Paybill number?,516900,paraphrased
What number do I use for the M-PESA Paybill?,516900,paraphrased
What is the Paybill code for M-PESA services?,516900,paraphrased
What is the required format for the M-PESA account number?,Student ID and Names.,paraphrased
What details are necessary for the M-PESA account number?,Student ID and Names.,paraphrased
What information is needed for the M-PESA account number?,Student ID and Names.,paraphrased
How should I format the M-PESA account number?,Student ID and Names.,paraphrased
What is what should the m-pesa account number be??,Student ID and Names.,paraphrased
Which types of cards can I use at the cashiers?,"Visa, MasterCard, JCB, Visa Electron.",paraphrased
What forms of payment do cashiers accept?,"Visa, MasterCard, JCB, Visa Electron.",paraphrased
What card brands are permitted at the cash registers?,"Visa, MasterCard, JCB, Visa Electron.",paraphrased
Are there specific cards that the cashiers will take?,"Visa, MasterCard, JCB, Visa Electron.",paraphrased
What is what cards are accepted at the cashiers??,"Visa, MasterCard, JCB, Visa Electron.",paraphrased
Who is eligible for fee instalment plans?,Kenyan continuing students (not first-time freshmen).,paraphrased
Which students can apply for fee instalments?,Kenyan continuing students (not first-time freshmen).,paraphrased
Who can take advantage of fee instalment options?,Kenyan continuing students (not first-time freshmen).,paraphrased
Who meets the criteria for fee instalments?,Kenyan continuing students (not first-time freshmen).,paraphrased
Which students qualify to use fee instalments?,Kenyan continuing students (not first-time freshmen).,paraphrased
What paperwork is required to set up a payment plan?,"Bank statement, utility bill, PIN, sponsor ID.",paraphrased
Which documents do I need to provide for a payment plan?,"Bank statement, utility bill, PIN, sponsor ID.",paraphrased
What do I need to submit in order to establish a payment plan?,"Bank statement, utility bill, PIN, sponsor ID.",paraphrased
What are the required papers for initiating a payment plan?,"Bank statement, utility bill, PIN, sponsor ID.",paraphrased
What is what documents are needed for a payment plan??,"Bank statement, utility bill, PIN, sponsor ID.",paraphrased
When should payment plans be established?,Within the first two weeks of the semester.,paraphrased
By when do payment plans need to be arranged?,Within the first two weeks of the semester.,paraphrased
What is the deadline for setting up payment plans?,Within the first two weeks of the semester.,paraphrased
At what point in the semester are payment plans required to be in place?,Within the first two weeks of the semester.,paraphrased
When is the latest that payment plans can be initiated?,Within the first two weeks of the semester.,paraphrased
What services does the Finance Office provide for graduates?,Caution-money and tuition refunds.,paraphrased
What types of transactions are handled by the Finance Office for graduates?,Caution-money and tuition refunds.,paraphrased
Which financial matters are addressed by the Finance Office for graduates?,Caution-money and tuition refunds.,paraphrased
What financial processes are undertaken by the Finance Office for graduates?,Caution-money and tuition refunds.,paraphrased
What does the Finance Office handle regarding graduates' finances?,Caution-money and tuition refunds.,paraphrased
Where can I find the cafeteria on campus?,Inside the university compound.,paraphrased
What is the specific place of the cafeteria?,Inside the university compound.,paraphrased
In which part of the university is the cafeteria situated?,Inside the university compound.,paraphrased
Could you let me know where the cafeteria is?,Inside the university compound.,paraphrased
What is where is the cafeteria located??,Inside the university compound.,paraphrased
What payment methods are available for cafeteria meals?,PAYE or meal-plan basis; choice is final.,paraphrased
In what ways can you pay for food in the cafeteria?,PAYE or meal-plan basis; choice is final.,paraphrased
How can students settle their cafeteria meal expenses?,PAYE or meal-plan basis; choice is final.,paraphrased
What are the options for paying for meals in the cafeteria?,PAYE or meal-plan basis; choice is final.,paraphrased
How do you go about paying for meals at the cafeteria?,PAYE or meal-plan basis; choice is final.,paraphrased
What time is breakfast served from Monday to Saturday?,7:30 am- 9:30 am.,paraphrased
Could you tell me the breakfast hours for Monday through Saturday?,7:30 am- 9:30 am.,paraphrased
"When can I get breakfast on weekdays, specifically from Monday to Saturday?",7:30 am- 9:30 am.,paraphrased
What are the breakfast serving times for Monday to Saturday?,7:30 am- 9:30 am.,paraphrased
At what hours is breakfast available from Monday to Saturday?,7:30 am- 9:30 am.,paraphrased
What time does breakfast start and end on Sundays?,From 9:30 am- 2:00 pm.,paraphrased
When can I get breakfast on Sundays?,From 9:30 am- 2:00 pm.,paraphrased
What are the operating hours for breakfast on Sundays?,From 9:30 am- 2:00 pm.,paraphrased
At what hours is breakfast served on Sundays?,From 9:30 am- 2:00 pm.,paraphrased
Could you tell me the breakfast schedule for Sundays?,From 9:30 am- 2:00 pm.,paraphrased
What time do lunch hours run from Monday to Saturday?,12:00 pm- 3:00 pm.,paraphrased
What are the hours for lunch service between Monday and Saturday?,12:00 pm- 3:00 pm.,paraphrased
When is lunch served from Monday to Saturday?,12:00 pm- 3:00 pm.,paraphrased
What are the lunch timings for the days Monday to Saturday?,12:00 pm- 3:00 pm.,paraphrased
What is what are monday -saturday lunch hours??,12:00 pm- 3:00 pm.,paraphrased
When do they serve lunch on Sundays?,12:00 pm- 2:00 pm.,paraphrased
What time does Sunday lunch start and end?,12:00 pm- 2:00 pm.,paraphrased
Could you tell me the hours for lunch on Sundays?,12:00 pm- 2:00 pm.,paraphrased
What are the timings for lunch on Sundays?,12:00 pm- 2:00 pm.,paraphrased
At what hours is lunch available on Sundays?,12:00 pm- 2:00 pm.,paraphrased
"""Will there be snacks offered on Sunday afternoon following lunch?""","Yes, 2:00 pm- 6:00 pm.",paraphrased
"""Can I get snacks on Sunday after lunchtime?""","Yes, 2:00 pm- 6:00 pm.",paraphrased
"""Is it possible to find snacks on Sunday post-lunch?""","Yes, 2:00 pm- 6:00 pm.",paraphrased
"""Do they serve snacks on Sundays in the hours after lunch?""","Yes, 2:00 pm- 6:00 pm.",paraphrased
"""Are there any snacks accessible on Sunday after the lunch period?""","Yes, 2:00 pm- 6:00 pm.",paraphrased
What time is the snack bar open from Monday to Thursday?,10:00 am- 8:00 pm.,paraphrased
When does the snack bar operate on Mondays through Thursdays?,10:00 am- 8:00 pm.,paraphrased
What are the opening hours of the snack bar on weekdays from Monday to Thursday?,10:00 am- 8:00 pm.,paraphrased
Could you provide the snack bar hours for Monday to Thursday?,10:00 am- 8:00 pm.,paraphrased
What is what are monday -thursday snack-bar hours??,10:00 am- 8:00 pm.,paraphrased
What are the operating hours for the snack bar on Friday and Saturday?,10:00 am- 6:00 pm.,paraphrased
When is the snack bar open on Fridays and Saturdays?,10:00 am- 6:00 pm.,paraphrased
What time does the snack bar operate on Friday and Saturday?,10:00 am- 6:00 pm.,paraphrased
What are the hours for the snack bar during Friday and Saturday?,10:00 am- 6:00 pm.,paraphrased
What is what are friday -saturday snack-bar hours??,10:00 am- 6:00 pm.,paraphrased
What is the position of the restaurant located upstairs?,Above the cafeteria.,paraphrased
Could you point me to where the restaurant is situated on the second level?,Above the cafeteria.,paraphrased
Where can I find the dining area that's located above the cafeteria?,Above the cafeteria.,paraphrased
Do you know where the restaurant on the upper level is?,Above the cafeteria.,paraphrased
What is where is the upstairs restaurant??,Above the cafeteria.,paraphrased
What are the hours for the upstairs restaurant?,"12:00 pm- 2:00 pm, Mon -Thu.",paraphrased
At what times can I visit the upstairs restaurant?,"12:00 pm- 2:00 pm, Mon -Thu.",paraphrased
When does the upstairs restaurant start and end its service?,"12:00 pm- 2:00 pm, Mon -Thu.",paraphrased
What time does the upstairs restaurant operate?,"12:00 pm- 2:00 pm, Mon -Thu.",paraphrased
On which days and at what times is the upstairs restaurant available?,"12:00 pm- 2:00 pm, Mon -Thu.",paraphrased
Can you smoke in the cafeteria?,No; smoking is prohibited campus-wide.,paraphrased
Is it permissible to smoke in the cafeteria?,No; smoking is prohibited campus-wide.,paraphrased
Are you allowed to smoke inside the cafeteria?,No; smoking is prohibited campus-wide.,paraphrased
Is smoking permitted within the cafeteria?,No; smoking is prohibited campus-wide.,paraphrased
Does the cafeteria allow smoking?,No; smoking is prohibited campus-wide.,paraphrased
Is it allowed to bring food from outside into the cafeteria?,No.,paraphrased
Are you permitted to carry in food from outside to the cafeteria?,No.,paraphrased
Is outside food permitted in the cafeteria?,No.,paraphrased
Can you take food from outside into the cafeteria?,No.,paraphrased
Is it okay to bring in food that wasn't bought at the cafeteria?,No.,paraphrased
Are students allowed to use someone else's ID in the cafeteria?,No; disciplinary sanctions apply.,paraphrased
Is it permissible for one student to use another student's ID when dining in the cafeteria?,No; disciplinary sanctions apply.,paraphrased
Can a student borrow another student's ID to access the cafeteria?,No; disciplinary sanctions apply.,paraphrased
Are students permitted to utilize another student's ID in the cafeteria?,No; disciplinary sanctions apply.,paraphrased
Is it acceptable for students to use IDs that belong to their peers in the cafeteria?,No; disciplinary sanctions apply.,paraphrased
Which extensions connect to the cafeteria?,"302, 208, 293.",paraphrased
What are the extension numbers for the cafeteria?,"302, 208, 293.",paraphrased
Which phone extensions lead to the cafeteria?,"302, 208, 293.",paraphrased
What extension numbers access the cafeteria?,"302, 208, 293.",paraphrased
What is what extensions reach the cafeteria??,"302, 208, 293.",paraphrased
Can students take the staff buses?,No; separate contracted transport for students.,paraphrased
Is it permissible for students to ride on the staff buses?,No; separate contracted transport for students.,paraphrased
Do students have the option to use the staff buses?,No; separate contracted transport for students.,paraphrased
Are staff buses available for student use?,No; separate contracted transport for students.,paraphrased
Is it allowed for students to utilize the staff buses?,No; separate contracted transport for students.,paraphrased
Who is responsible for creating the schedules for student transportation?,"Contracted company & SAC, based on timetables.",paraphrased
Which entity organizes the transport schedules for students?,"Contracted company & SAC, based on timetables.",paraphrased
Who handles the preparation of transportation timetables for students?,"Contracted company & SAC, based on timetables.",paraphrased
Which group is in charge of arranging student transport schedules?,"Contracted company & SAC, based on timetables.",paraphrased
Who takes care of scheduling transport for students?,"Contracted company & SAC, based on timetables.",paraphrased
Will there be transportation available over the holiday?,No.,paraphrased
Is there any form of transport while on vacation?,No.,paraphrased
Can we expect transportation options during the break?,No.,paraphrased
Are there transport services operating during the holiday period?,No.,paraphrased
Is transportation provided during the vacation time?,No.,paraphrased
Which extensions connect to the Transport Office?,273 or 584.,paraphrased
What are the extension numbers that lead to the Transport Office?,273 or 584.,paraphrased
Which extension numbers reach the Transport Office?,273 or 584.,paraphrased
What are the extensions that can be used to contact the Transport Office?,273 or 584.,paraphrased
What is what extensions reach the transport office??,273 or 584.,paraphrased
Which extension connects to the contracted transport company?,228,paraphrased
What is the extension for the contracted transport company?,228,paraphrased
What number do I dial to contact the contracted transport company?,228,paraphrased
Which extension should I use to get in touch with the contracted transport company?,228,paraphrased
What is what extension reaches the contracted transport company??,228,paraphrased
What is the location of the Head of Security?,Maintenance area opposite the cafeteria.,paraphrased
Where can I find the Head of Security?,Maintenance area opposite the cafeteria.,paraphrased
Could you let me know the whereabouts of the Head of Security?,Maintenance area opposite the cafeteria.,paraphrased
In which area is the Head of Security situated?,Maintenance area opposite the cafeteria.,paraphrased
What is where is the head of security located??,Maintenance area opposite the cafeteria.,paraphrased
Which extension should I dial to reach the Head of Security?,Extension 583,paraphrased
What is the phone extension for the Head of Security?,Extension 583,paraphrased
How can I get in touch with the Head of Security through their extension?,Extension 583,paraphrased
What number do I need to call to reach the Head of Security?,Extension 583,paraphrased
What is what extension reaches the head of security??,Extension 583,paraphrased
Which emergency security extensions are available?,266 or 461.,paraphrased
What are the available options for emergency security extensions?,266 or 461.,paraphrased
What types of emergency security extensions can be found?,266 or 461.,paraphrased
What emergency security extensions are currently in existence?,266 or 461.,paraphrased
What is what emergency security extensions exist??,266 or 461.,paraphrased
How fast are you allowed to drive on campus?,10 KPH.,paraphrased
What is the maximum speed permitted on campus?,10 KPH.,paraphrased
What speed should I adhere to while driving on campus?,10 KPH.,paraphrased
What's the speed restriction in the campus vicinity?,10 KPH.,paraphrased
What is what is the campus speed limit??,10 KPH.,paraphrased
At what location are items that have been lost initially brought?,Administration Block Security desk.,paraphrased
To which place are lost belongings first delivered?,Administration Block Security desk.,paraphrased
What is the first destination for items that have been misplaced?,Administration Block Security desk.,paraphrased
Where do lost possessions typically go first?,Administration Block Security desk.,paraphrased
In which area are lost items sent initially?,Administration Block Security desk.,paraphrased
Can you park overnight without needing permission?,No; security clearance required.,paraphrased
Is it permissible to park overnight without prior approval?,No; security clearance required.,paraphrased
Do you need permission to park overnight?,No; security clearance required.,paraphrased
Is it allowed to park overnight without authorization?,No; security clearance required.,paraphrased
Can you leave your vehicle overnight without getting approval first?,No; security clearance required.,paraphrased
Can you take photos on campus without restrictions?,Only for academic purposes with lecturer permission.,paraphrased
Is it permissible to photograph freely around campus?,Only for academic purposes with lecturer permission.,paraphrased
Are there any limitations on photography on campus?,Only for academic purposes with lecturer permission.,paraphrased
Do you need permission to take pictures on campus?,Only for academic purposes with lecturer permission.,paraphrased
Is unrestricted photography permitted in the campus area?,Only for academic purposes with lecturer permission.,paraphrased
To whom should a victim of a crime reach out for help?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",paraphrased
Who is the appropriate person for a crime victim to inform?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",paraphrased
Where should someone who has experienced a crime go to report it?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",paraphrased
Which officials should a crime victim contact for assistance?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",paraphrased
Who is the right contact for someone who has been victimized by a crime?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",paraphrased
Is it possible for a victim to ask for anonymity?,"Yes, to the extent practicable.",paraphrased
Can a victim seek to remain anonymous?,"Yes, to the extent practicable.",paraphrased
Are victims allowed to request to keep their identity private?,"Yes, to the extent practicable.",paraphrased
Is anonymity an option that a victim can request?,"Yes, to the extent practicable.",paraphrased
Can a victim choose to remain unnamed if they wish?,"Yes, to the extent practicable.",paraphrased
What's the address of the Alumni Office?,Main Administration Block.,paraphrased
In which building can I find the Alumni Office?,Main Administration Block.,paraphrased
Could you let me know where the Alumni Office is situated?,Main Administration Block.,paraphrased
Where can I locate the Alumni Office?,Main Administration Block.,paraphrased
What is where is the alumni office??,Main Administration Block.,paraphrased
Which extensions can I use to contact the Alumni Office?,"585, 205, 206.",paraphrased
What are the extension numbers for reaching the Alumni Office?,"585, 205, 206.",paraphrased
What phone extensions are available for the Alumni Office?,"585, 205, 206.",paraphrased
Which extension numbers should I dial to reach the Alumni Office?,"585, 205, 206.",paraphrased
What is what extensions reach the alumni office??,"585, 205, 206.",paraphrased
What date marks the registration of the Alumni Association?,April 1990.,paraphrased
In which month and year was the Alumni Association officially registered?,April 1990.,paraphrased
What was the registration date for the Alumni Association?,April 1990.,paraphrased
Could you provide the date when the Alumni Association became registered?,April 1990.,paraphrased
What is when was the alumni association registered??,April 1990.,paraphrased
Do graduating students need to sign up with the alumni network?,Yes; mandatory before leaving.,paraphrased
Is it required for students who are graduating to register with the alumni?,Yes; mandatory before leaving.,paraphrased
Are graduates obligated to enroll with the alumni association?,Yes; mandatory before leaving.,paraphrased
Should students who are about to graduate register as alumni?,Yes; mandatory before leaving.,paraphrased
Is it necessary for those graduating to complete their alumni registration?,Yes; mandatory before leaving.,paraphrased
What steps should alumni take to change their contact information?,Email alumni@usiu.ac.ke.,paraphrased
In what way can graduates modify their contact details?,Email alumni@usiu.ac.ke.,paraphrased
How might former students go about updating their contact information?,Email alumni@usiu.ac.ke.,paraphrased
What is the process for alumni to refresh their contact details?,Email alumni@usiu.ac.ke.,paraphrased
How do alumni go about changing their contact information?,Email alumni@usiu.ac.ke.,paraphrased
What is the address of the Human Resources Office?,"First floor, Administration Block.",paraphrased
On which floor can I find the Human Resources Office?,"First floor, Administration Block.",paraphrased
Could you inform me where the Human Resources Office is situated?,"First floor, Administration Block.",paraphrased
In which part of the building is the Human Resources Office located?,"First floor, Administration Block.",paraphrased
What is where is the human resources office??,"First floor, Administration Block.",paraphrased
Which extension is connected to HR?,408,paraphrased
What is the extension for HR?,408,paraphrased
What is the extension that goes to HR?,408,paraphrased
Which number do I dial to reach HR?,408,paraphrased
What is what extension reaches hr??,408,paraphrased
Do you know where I can find the Health Centre?,Next to the hostels.,paraphrased
Could you point me to the Health Centre's whereabouts?,Next to the hostels.,paraphrased
What is the location of the Health Centre?,Next to the hostels.,paraphrased
Where can I locate the Health Centre?,Next to the hostels.,paraphrased
What is where is the health centre??,Next to the hostels.,paraphrased
Which bus routes go to the Health Centre?,"542, 230, 229.",paraphrased
What are the extension numbers that service the Health Centre?,"542, 230, 229.",paraphrased
Which extensions provide access to the Health Centre?,"542, 230, 229.",paraphrased
What are the bus numbers that reach the Health Centre?,"542, 230, 229.",paraphrased
What is what extensions reach the health centre??,"542, 230, 229.",paraphrased
What are the operating hours of the Health Centre during the day?,8:00 am- 10:00 pm for all students.,paraphrased
What time does the Health Centre open and close for students?,8:00 am- 10:00 pm for all students.,paraphrased
When is the Health Centre open during the day?,8:00 am- 10:00 pm for all students.,paraphrased
What are the hours of operation for the Health Centre for students?,8:00 am- 10:00 pm for all students.,paraphrased
What is what are health centre daytime hours??,8:00 am- 10:00 pm for all students.,paraphrased
Do resident students have access to services during the night?,"Yes, 10:00 pm- 8:00 am for emergencies.",paraphrased
Is there a night service available for resident students?,"Yes, 10:00 pm- 8:00 am for emergencies.",paraphrased
Can resident students receive assistance after hours?,"Yes, 10:00 pm- 8:00 am for emergencies.",paraphrased
Are services provided to resident students in the nighttime?,"Yes, 10:00 pm- 8:00 am for emergencies.",paraphrased
Is there help for resident students during the night hours?,"Yes, 10:00 pm- 8:00 am for emergencies.",paraphrased
What are the times when the Health Centre is not open?,Public holidays & when school is not in session.,paraphrased
On which occasions does the Health Centre close its doors?,Public holidays & when school is not in session.,paraphrased
During what periods is the Health Centre unavailable?,Public holidays & when school is not in session.,paraphrased
When can we expect the Health Centre to be shut?,Public holidays & when school is not in session.,paraphrased
What days or events lead to the closure of the Health Centre?,Public holidays & when school is not in session.,paraphrased
Can minor surgical procedures be performed at the Health Centre?,"Yes, e.g., stitching, dressing wounds.",paraphrased
Is minor surgery offered by the Health Centre?,"Yes, e.g., stitching, dressing wounds.",paraphrased
Does the Health Centre provide services for minor surgical operations?,"Yes, e.g., stitching, dressing wounds.",paraphrased
Are minor surgical treatments available at the Health Centre?,"Yes, e.g., stitching, dressing wounds.",paraphrased
Can you get minor surgery done at the Health Centre?,"Yes, e.g., stitching, dressing wounds.",paraphrased
What types of vaccinations are available?,Routine and travel vaccines.,paraphrased
Which vaccines can I get?,Routine and travel vaccines.,paraphrased
What vaccination options do you have?,Routine and travel vaccines.,paraphrased
Which immunizations are offered here?,Routine and travel vaccines.,paraphrased
What is what vaccinations are offered??,Routine and travel vaccines.,paraphrased
Do all students have accident insurance coverage?,"Yes, up to Ksh 200 000 for injuries.",paraphrased
Is every student covered for accidents?,"Yes, up to Ksh 200 000 for injuries.",paraphrased
Are students protected by insurance in case of accidents?,"Yes, up to Ksh 200 000 for injuries.",paraphrased
Is there accident insurance for all students?,"Yes, up to Ksh 200 000 for injuries.",paraphrased
Do all students carry insurance that covers accidents?,"Yes, up to Ksh 200 000 for injuries.",paraphrased
How much is the compensation for fatal accidents?,Ksh 500 000.,paraphrased
What amount is paid out for accidents that result in death?,Ksh 500 000.,paraphrased
What's the financial restitution for a fatal accident?,Ksh 500 000.,paraphrased
How much do you receive for a fatal accident claim?,Ksh 500 000.,paraphrased
What is what is the payout for fatal accidents??,Ksh 500 000.,paraphrased
What is the payment process for the sports-injury coverage?,University pays providers directly.,paraphrased
In what manner is the payment for sports-injury insurance handled?,University pays providers directly.,paraphrased
How does the payment for the sports injury coverage work?,University pays providers directly.,paraphrased
Who covers the costs associated with the sports-injury insurance?,University pays providers directly.,paraphrased
Can you explain how the payment is made for the sports-injury coverage?,University pays providers directly.,paraphrased
What actions should a student take if they get hurt on campus?,"Report to Health Centre, fill Personal Accident Claim Form.",paraphrased
"If a student sustains an injury on campus, what steps should they follow?","Report to Health Centre, fill Personal Accident Claim Form.",paraphrased
What should a student do in the event of an injury occurring on campus?,"Report to Health Centre, fill Personal Accident Claim Form.",paraphrased
"When a student is injured on campus, what is the appropriate procedure to follow?","Report to Health Centre, fill Personal Accident Claim Form.",paraphrased
What are the necessary steps for a student who has been injured while on campus?,"Report to Health Centre, fill Personal Accident Claim Form.",paraphrased
What is the timeframe for submitting claim forms?,Within 14 days of injury.,paraphrased
When must claim forms be returned after an injury occurs?,Within 14 days of injury.,paraphrased
How much time is allowed for returning claim forms?,Within 14 days of injury.,paraphrased
What is the deadline for returning claim forms following an injury?,Within 14 days of injury.,paraphrased
By when should claim forms be submitted after experiencing an injury?,Within 14 days of injury.,paraphrased
What will occur if the forms aren't filled out?,Medical charges are posted to the student account.,paraphrased
What are the consequences of not completing the forms?,Medical charges are posted to the student account.,paraphrased
"If the forms remain unfinished, what happens next?",Medical charges are posted to the student account.,paraphrased
What is the result of failing to complete the forms?,Medical charges are posted to the student account.,paraphrased
What occurs when the forms are not submitted?,Medical charges are posted to the student account.,paraphrased
What is the contact information for the help desk in the ICT Department?,Ext 333 or helpdesk@usiu.ac.ke.,paraphrased
Where can I find the help desk for the ICT Department?,Ext 333 or helpdesk@usiu.ac.ke.,paraphrased
Could you let me know how to reach the ICT Department's help desk?,Ext 333 or helpdesk@usiu.ac.ke.,paraphrased
What extension should I dial to get in touch with the ICT Department's help desk?,Ext 333 or helpdesk@usiu.ac.ke.,paraphrased
What is where is the ict department's help desk??,Ext 333 or helpdesk@usiu.ac.ke.,paraphrased
Which group of students does not have to pay computer-lab fees?,IST students (already incorporated).,paraphrased
Who doesn't need to pay fees for using the computer lab?,IST students (already incorporated).,paraphrased
Which category of students is free from computer-lab charges?,IST students (already incorporated).,paraphrased
Who qualifies for an exemption from the fees associated with the computer lab?,IST students (already incorporated).,paraphrased
What is who is exempt from computer-lab fees??,IST students (already incorporated).,paraphrased
What is the total number of ICT labs that are available?,15 in total.,paraphrased
How many ICT labs do we have in total?,15 in total.,paraphrased
What's the number of available ICT labs?,15 in total.,paraphrased
Could you let me know how many ICT labs there are?,15 in total.,paraphrased
What is how many ict labs are available??,15 in total.,paraphrased
Are students allowed to play games in the labs?,No; disciplinary action will follow.,paraphrased
